"","Plate.ID","Time","Treatment","Count.per.Frame","Count.per.ml","Spiral.Stop","Dilution.Factor","Flags","Time.1","Date","User","Count_per_fly","ln_count","Block"
"1","Plate 14",0,"I120M",239,22600,"3A","1 in 1","","8:49 AM","6/29/22","P3Admin",11300,9.33264649636015,"B1"
"2","Plate 13",0,"I120M",205,11200,"4C","1 in 1","","8:49 AM","6/29/22","P3Admin",5600,8.63070043220983,"B1"
"3","Plate 12",0,"I120M",195,10700,"4C","1 in 1","","8:49 AM","6/29/22","P3Admin",5350,8.5850387383113,"B1"
"4","Plate 11",0,"I120M",267,48700,"3B","1 in 1","","8:48 AM","6/29/22","P3Admin",24350,10.1003281954293,"B1"
"5","Plate 10",0,"I120M",185,3700,"4A","1 in 1","","8:48 AM","6/29/22","P3Admin",1850,7.5234813125735,"B1"
"6","Plate 9",0,"I120M",193,18300,"3A","1 in 1","","8:47 AM","6/29/22","P3Admin",9150,9.12161844191538,"B1"
"7","Plate 8",0,"I120M",38,760,"W","1 in 1","M ","8:47 AM","6/29/22","P3Admin",380,5.9427993751267,"B1"
"8","Plate 7",0,"I120M",165,3300,"4A","1 in 1","","8:46 AM","6/29/22","P3Admin",1650,7.40913644392013,"B1"
"9","Plate 6",0,"I120M",6,120,"W","1 in 1","M ","8:45 AM","6/29/22","P3Admin",60,4.11087386417331,"B1"
"10","Plate 3",0,"I120M",133,2660,"W","1 in 1","","8:45 AM","6/29/22","P3Admin",1330,7.19368581839511,"B1"
"11","Plate 5",0,"I120M",187,6230,"4B","1 in 1","","8:45 AM","6/29/22","P3Admin",3115,8.04430540699064,"B1"
"12","Plate 4",0,"I120M",351,163000,"3C","1 in 1","","8:44 AM","6/29/22","P3Admin",81500,11.3083705690923,"B1"
"13","Plate 2",0,"I120M",92,1840,"W","1 in 1","","8:42 AM","6/29/22","P3Admin",920,6.82546003625531,"B1"
"14","Plate 1",0,"I120M",13,260,"W","1 in 1","M ","8:42 AM","6/29/22","P3Admin",130,4.87519732320115,"B1"
"15","M14",24,"Mated",171,16200,"3A","1 in 1","","11:02 AM","6/30/22","P3Admin",8100,8.99974278983049,"B1"
"16","M13",24,"Mated",162,29600,"3B","1 in 1","","11:01 AM","6/30/22","P3Admin",14800,9.60245002503719,"B1"
"17","M12",24,"Mated",107,2140,"W","1 in 1","","11:01 AM","6/30/22","P3Admin",1070,6.97634807044775,"B1"
"18","M11",24,"Mated",290,134000,"3C","1 in 1","","11:01 AM","6/30/22","P3Admin",67000,11.1124628236349,"B1"
"19","M10",24,"Mated",56,1120,"W","1 in 1","","11:00 AM","6/30/22","P3Admin",560,6.3297209055227,"B1"
"20","M9",24,"Mated",178,9740,"4C","1 in 1","","11:00 AM","6/30/22","P3Admin",4870,8.49105453380654,"B1"
"21","M8",24,"Mated",261,24700,"3A","1 in 1","","10:59 AM","6/30/22","P3Admin",12350,9.42149231043801,"B1"
"22","M7",24,"Mated",242,22900,"3A","1 in 1","","10:59 AM","6/30/22","P3Admin",11450,9.34583234141334,"B1"
"23","M6",24,"Mated",199,3980,"4A","1 in 1","","10:59 AM","6/30/22","P3Admin",1990,7.5963923040642,"B1"
"24","M5",24,"Mated",208,38000,"3B","1 in 1","","10:58 AM","6/30/22","P3Admin",19000,9.85224688834253,"B1"
"25","M4",24,"Mated",161,29400,"3B","1 in 1","","10:58 AM","6/30/22","P3Admin",14700,9.59567079766397,"B1"
"26","M3",24,"Mated",230,106000,"3C","1 in 1","","10:58 AM","6/30/22","P3Admin",53000,10.8780660602808,"B1"
"27","M2",24,"Mated",25,500,"W","1 in 1","M ","10:57 AM","6/30/22","P3Admin",250,5.52545293913178,"B1"
"28","M1",24,"Mated",74,1480,"W","1 in 1","","10:57 AM","6/30/22","P3Admin",740,6.60800062529609,"B1"
"29","v14",24,"Unmated",147,2940,"W","1 in 1","","10:56 AM","6/30/22","P3Admin",1470,7.29369772060144,"B1"
"30","v13",24,"Unmated",169,9250,"4C","1 in 1","","10:56 AM","6/30/22","P3Admin",4625,8.43944784279138,"B1"
"31","v12",24,"Unmated",176,16700,"3A","1 in 1","","10:56 AM","6/30/22","P3Admin",8350,9.03013657115323,"B1"
"32","v11",24,"Unmated",306,142000,"3C","1 in 1","","10:55 AM","6/30/22","P3Admin",71000,11.1704492404313,"B1"
"33","v10",24,"Unmated",273,25900,"3A","1 in 1","","10:54 AM","6/30/22","P3Admin",12950,9.46892828422359,"B1"
"34","v9",24,"Unmated",224,7470,"4B","1 in 1","","10:54 AM","6/30/22","P3Admin",3735,8.22577079934873,"B1"
"35","v8",24,"Unmated",0,0,"","1 in 1","T","10:54 AM","6/30/22","P3Admin",0,0,"B1"
"36","v7",24,"Unmated",258,47100,"3B","1 in 1","","10:54 AM","6/30/22","P3Admin",23550,10.0669235613881,"B1"
"37","v6",24,"Unmated",96,1920,"W","1 in 1","","10:53 AM","6/30/22","P3Admin",960,6.86797440897029,"B1"
"38","v5",24,"Unmated",178,9740,"4C","1 in 1","","10:53 AM","6/30/22","P3Admin",4870,8.49105453380654,"B1"
"39","v4",24,"Unmated",230,42000,"3B","1 in 1","","10:53 AM","6/30/22","P3Admin",21000,9.95232533461943,"B1"
"40","v3",24,"Unmated",190,10400,"4C","1 in 1","","10:52 AM","6/30/22","P3Admin",5200,8.55660619377307,"B1"
"41","v2",24,"Unmated",185,17500,"3A","1 in 1","","10:52 AM","6/30/22","P3Admin",8750,9.07692325853583,"B1"
"42","v1",24,"Unmated",40,800,"W","1 in 1","","10:51 AM","6/30/22","P3Admin",400,5.99396142730657,"B1"
"43","M1",48,"Mated",0,0,"","1 in 1","T","8:59 AM","7/1/22","P3Admin",0,0,"B1"
"44","M2",48,"Mated",64,1280,"W","1 in 1","","8:59 AM","7/1/22","P3Admin",640,6.46302945692067,"B1"
"45","M3",48,"Mated",62,1240,"W","1 in 1","","8:59 AM","7/1/22","P3Admin",620,6.43133108193348,"B1"
"46","M4",48,"Mated",0,0,"","1 in 1","T","8:59 AM","7/1/22","P3Admin",0,0,"B1"
"47","M5",48,"Mated",104,2080,"W","1 in 1","","8:59 AM","7/1/22","P3Admin",1040,6.94793706861497,"B1"
"48","M6",48,"Mated",23,460,"W","1 in 1","M ","8:58 AM","7/1/22","P3Admin",230,5.44241771052179,"B1"
"49","M7",48,"Mated",133,2660,"W","1 in 1","","8:58 AM","7/1/22","P3Admin",1330,7.19368581839511,"B1"
"50","M8",48,"Mated",200,10900,"4C","1 in 1","","8:57 AM","7/1/22","P3Admin",5450,8.60355435706428,"B1"
"51","M9",48,"Mated",133,2660,"W","1 in 1","","8:57 AM","7/1/22","P3Admin",1330,7.19368581839511,"B1"
"52","M10",48,"Mated",109,2180,"W","1 in 1","","8:57 AM","7/1/22","P3Admin",1090,6.99484998583307,"B1"
"53","M11",48,"Mated",176,3520,"4A","1 in 1","","8:56 AM","7/1/22","P3Admin",1760,7.47363710849621,"B1"
"54","M12",48,"Mated",10,200,"W","1 in 1","M ","8:56 AM","7/1/22","P3Admin",100,4.61512051684126,"B1"
"55","M13",48,"Mated",23,460,"W","1 in 1","M E ","8:55 AM","7/1/22","P3Admin",230,5.44241771052179,"B1"
"56","M14",48,"Mated",225,21300,"3A","1 in 1","","8:55 AM","7/1/22","P3Admin",10650,9.27340906344317,"B1"
"57","V1",48,"Unmated",170,78700,"3C","1 in 1","","8:54 AM","7/1/22","P3Admin",39350,10.5802766664833,"B1"
"58","V2",48,"Unmated",168,15900,"3A","1 in 1","","8:54 AM","7/1/22","P3Admin",7950,8.98105298590148,"B1"
"59","V3",48,"Unmated",250,23700,"3A","1 in 1","","8:53 AM","7/1/22","P3Admin",11850,9.38016753118845,"B1"
"60","V4",48,"Unmated",350,63900,"3B","1 in 1","","8:53 AM","7/1/22","P3Admin",31950,10.3719587582204,"B1"
"61","V5",48,"Unmated",192,35000,"3B","1 in 1","","8:53 AM","7/1/22","P3Admin",17500,9.77001330113616,"B1"
"62","V6",48,"Unmated",204,11200,"4C","1 in 1","","8:52 AM","7/1/22","P3Admin",5600,8.63070043220983,"B1"
"63","V7",48,"Unmated",26,520,"W","1 in 1","M ","8:52 AM","7/1/22","P3Admin",260,5.56452040732269,"B1"
"64","V8",48,"Unmated",21,420,"W","1 in 1","M ","8:51 AM","7/1/22","P3Admin",210,5.35185813347607,"B1"
"65","V9",48,"Unmated",206,19500,"3A","1 in 1","","8:51 AM","7/1/22","P3Admin",9750,9.18512512283512,"B1"
"66","V10",48,"Unmated",20,400,"W","1 in 1","M ","8:50 AM","7/1/22","P3Admin",200,5.30330490805908,"B1"
"67","V11",48,"Unmated",375,68400,"3B","1 in 1","","8:50 AM","7/1/22","P3Admin",34200,10.4400101623893,"B1"
"68","V12",48,"Unmated",272,126000,"3C","1 in 1","","8:49 AM","7/1/22","P3Admin",63000,11.0509058782636,"B1"
"69","V13",48,"Unmated",254,13900,"4C","1 in 1","","8:49 AM","7/1/22","P3Admin",6950,8.84664081310049,"B1"
"70","V14",48,"Unmated",0,0,"W","1 in 1","M ","8:48 AM","7/1/22","P3Admin",0,0,"B1"
"73","M1",72,"Mated",1,20,"W","1 in 1","M ","9:59 AM","7/2/22","P3Admin",10,2.39789527279837,"B1"
"74","M2",72,"Mated",218,101000,"3C","1 in 1","","9:59 AM","7/2/22","P3Admin",50500,10.8297484170476,"B1"
"75","M3",72,"Mated",124,2480,"W","1 in 1","","9:58 AM","7/2/22","P3Admin",1240,7.12367278520461,"B1"
"76","M4",72,"Mated",4,80,"W","1 in 1","M ","9:58 AM","7/2/22","P3Admin",40,3.71357206670431,"B1"
"77","M5",72,"Mated",138,2760,"W","1 in 1","","9:58 AM","7/2/22","P3Admin",1380,7.23056315340929,"B1"
"78","M6",72,"Mated",12,240,"W","1 in 1","M ","9:57 AM","7/2/22","P3Admin",120,4.79579054559674,"B1"
