"","Date","Block","Treatment","Hours","Flies","Censor"
"1","6/22/22",1,"I0M",24,1,1
"2","6/23/22",1,"I0M",48,4,1
"3","6/23/22",1,"M0",48,1,1
"4","6/23/22",1,"I120M",48,1,1
"5","6/23/22",1,"M24I",48,3,1
"6","6/24/22",1,"-0M",72,1,1
"7","6/24/22",1,"I0M",72,1,1
"8","6/24/22",1,"I24M",72,2,1
"9","6/24/22",1,"M24I",72,1,1
"10","6/24/22",1,"I120M",72,1,1
"12","6/25/22",1,"M0",96,1,1
"13","6/25/22",1,"-0M",96,1,1
"14","6/25/22",1,"I0M",96,1,1
"15","6/25/22",1,"I24M",96,5,1
"16","6/25/22",1,"M24I",96,1,1
"17","6/25/22",1,"I120M",96,1,1
"18","6/26/22",1,"-0M",120,1,1
"19","6/27/22",1,"M0",144,3,1
"20","6/27/22",1,"-0M",144,1,1
"21","6/27/22",1,"I0M",144,4,1
"22","6/27/22",1,"I24M",144,5,1
"23","6/27/22",1,"M24I",144,2,1
"24","6/27/22",1,"I120M",144,1,1
"25","6/28/22",1,"M0",168,1,1
"26","6/28/22",1,"I0M",168,1,1
"27","6/28/22",1,"I120M",168,6,1
"29","6/29/22",1,"M0",192,1,1
"30","6/29/22",1,"-0M",192,1,1
"31","6/29/22",1,"I0M",192,3,1
"32","6/29/22",1,"I24M",192,3,1
"33","6/29/22",1,"M24I",192,1,1
"34","6/29/22",1,"I120M",192,6,1
"36","6/30/22",1,"M0",216,4,1
"37","6/30/22",1,"-0M",216,1,1
"38","6/30/22",1,"I0M",216,1,1
"39","6/30/22",1,"I24M",216,2,1
"40","6/30/22",1,"M24I",216,1,1
"41","7/1/22",1,"M24I",240,3,1
"43","7/1/22",1,"M0",240,24,0
"44","7/1/22",1,"-0M",240,28,0
"45","7/1/22",1,"I0M",240,19,0
"46","7/1/22",1,"I24M",240,23,0
"47","7/1/22",1,"M24-",240,15,0
"48","7/1/22",1,"Virgin",240,35,0
